Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MPper,PS/G,TRB,ASTper
32,Miles Bridges\bridgmi02,Oct 17 '18 CHO vs. MIL,20,1,72,1439,202,439,55,170,51,69,58,284,71,47,40,43,102,510,0.46,0.324,0.739,20,7.1,3.9,1
33,Troy Caupain\caupatr01,Dec 31 '18 ORL @ CHO,23,1,4,16,4,8,2,3,0,0,1,3,4,1,0,0,0,10,0.5,0.667,,4,2.5,0.8,1
34,Joe Chealey\chealjo01,Jan 30 '19 CHO @ BOS,23,1,1,8,1,3,0,0,0,0,0,0,1,0,0,0,1,2,0.333,,,8,2,0,1
35,Haywood Highsmith\highsha01,Jan 8 '19 PHI vs. WAS,22,1,2,9,1,2,1,2,0,0,0,1,2,0,0,0,0,3,0.5,0.5,,4.5,1.5,0.5,1
36,Kevin Knox\knoxke01,Oct 17 '18 NYK vs. ATL,19,1,67,1891,297,804,110,315,139,189,54,289,69,38,19,96,160,843,0.369,0.349,0.735,28.2,12.6,4.3,1
37,Omari Spellman\spellom01,Oct 17 '18 ATL @ NYK,21,1,46,805,98,244,44,128,32,45,72,194,47,26,25,31,67,272,0.402,0.344,0.711,17.5,5.9,4.2,1
38,DeVaughn Akoon-Purcell\akoonde01,Oct 23 '18 DEN vs. SAC,25,1,7,22,3,10,0,4,1,2,1,4,6,2,0,2,4,7,0.3,0,0.5,3.1,1,0.6,0.9
39,Brandon Goodwin\goodwbr01,Dec 18 '18 DEN vs. DAL,23,1,16,57,6,23,2,6,9,11,1,3,14,0,0,3,7,23,0.261,0.333,0.818,3.6,1.4,0.2,0.9
40,Shake Milton\miltosh01,Nov 30 '18 PHI vs. WAS,22,1,14,148,26,54,11,28,4,5,7,21,13,4,3,3,17,67,0.481,0.393,0.8,10.6,4.8,1.5,0.9
41,Sviatoslav Mykhailiuk\mykhasv01,Oct 22 '18 LAL vs. SAS,21,1,42,440,46,140,29,89,12,20,9,36,37,14,1,21,25,133,0.329,0.326,0.6,10.5,3.2,0.9,0.9
42,Mohamed Bamba\bambamo01,Oct 17 '18 ORL vs. MIA,20,1,47,766,117,243,21,70,37,63,64,233,39,13,64,43,102,292,0.481,0.3,0.587,16.3,6.2,5,0.8
43,Jonah Bolden\boldejo01,Oct 16 '18 PHI @ BOS,23,1,38,495,61,122,24,71,10,21,33,129,30,14,33,31,84,156,0.5,0.338,0.476,13,4.1,3.4,0.8
44,Chandler Hutchison\hutchch01,Oct 18 '18 CHI @ PHI,22,1,44,895,96,209,14,50,23,38,31,185,34,23,6,25,59,229,0.459,0.28,0.605,20.3,5.2,4.2,0.8
45,Rodions Kurucs\kurucro01,Oct 17 '18 BRK @ DET,20,1,56,1161,184,394,52,155,67,81,48,211,44,38,24,69,132,487,0.467,0.335,0.827,20.7,8.7,3.8,0.8
46,Rawle Alkins\alkinra01,Dec 17 '18 CHI @ OKC,21,1,3,6,1,4,1,1,0,0,3,3,2,1,0,0,1,3,0.25,1,,2,1,1,0.7
47,Trevon Duval\duvaltr01,Feb 8 '19 MIL @ DAL,20,1,3,6,2,3,1,1,0,0,0,1,2,0,0,0,0,5,0.667,1,,2,1.7,0.3,0.7
48,Emanuel Terry\terryem01,Jan 27 '19 PHO @ LAL,22,1,3,23,4,7,0,0,2,4,3,7,2,3,0,2,4,10,0.571,,0.5,7.7,3.3,2.3,0.7
49,Grayson Allen\allengr01,Oct 22 '18 UTA vs. MEM,23,1,32,300,38,117,22,74,28,40,1,11,18,4,3,18,35,126,0.325,0.297,0.7,9.4,3.9,0.3,0.6
50,Jacob Evans\evansja02,Oct 22 '18 GSW vs. PHO,21,1,27,134,10,33,1,8,0,1,4,16,16,1,1,7,21,21,0.303,0.125,0,5,0.8,0.6,0.6
51,Mitchell Robinson\robinmi01,Oct 17 '18 NYK vs. ATL,20,1,58,1102,163,239,0,0,63,108,148,330,32,43,141,30,189,389,0.682,,0.583,19,6.7,5.7,0.6
52,Jared Terrell\terreja01,Nov 4 '18 MIN @ POR,23,1,11,76,8,27,4,12,1,2,1,4,7,3,1,8,9,21,0.296,0.333,0.5,6.9,1.9,0.4,0.6
53,Moritz Wagner\wagnemo01,Nov 17 '18 LAL @ ORL,21,1,35,295,49,115,17,57,25,34,13,58,20,9,7,27,38,140,0.426,0.298,0.735,8.4,4,1.7,0.6
54,Keita Bates-Diop\bateske01,Oct 26 '18 MIN vs. MIL,23,1,22,348,42,98,6,36,14,22,11,55,11,11,11,8,19,104,0.429,0.167,0.636,15.8,4.7,2.5,0.5
55,Jaron Blossomgame\blossja01,Dec 5 '18 CLE vs. GSW,25,1,27,439,47,106,10,39,10,13,26,98,13,7,8,11,20,114,0.443,0.256,0.769,16.3,4.2,3.6,0.5
56,Isaac Bonga\bongais01,Dec 7 '18 LAL @ SAS,19,1,14,46,2,13,0,3,6,9,4,11,7,3,1,4,3,10,0.154,0,0.667,3.3,0.7,0.8,0.5
57,Ryan Broekhoff\broekry01,Oct 17 '18 DAL @ PHO,28,1,35,329,44,94,30,72,8,9,5,42,18,4,3,9,27,126,0.468,0.417,0.889,9.4,3.6,1.2,0.5
58,Isaiah Hartenstein\harteis01,Oct 17 '18 HOU vs. NOP,20,1,28,221,20,41,2,6,11,14,21,47,15,7,12,13,56,53,0.488,0.333,0.786,7.9,1.9,1.7,0.5
59,Cameron Reynolds\reynoca01,Mar 3 '19 MIN @ WAS,23,1,11,130,13,39,8,24,3,3,2,12,6,4,1,1,9,37,0.333,0.333,1,11.8,3.4,1.1,0.5
60,Thomas Welsh\welshth01,Oct 17 '18 DEN @ LAC,22,1,11,36,7,13,3,7,1,2,0,4,5,0,0,1,3,18,0.538,0.429,0.5,3.3,1.6,0.4,0.5
61,Gary Clark\clarkga01,Oct 17 '18 HOU vs. NOP,24,1,46,604,44,131,36,119,7,7,20,107,17,19,25,6,43,131,0.336,0.303,1,13.1,2.8,2.3,0.4
62,Hamidou Diallo\diallha01,Oct 16 '18 OKC @ GSW,20,1,48,524,75,165,4,24,36,59,38,97,17,20,10,23,77,190,0.455,0.167,0.61,10.9,4,2,0.4
63,Drew Eubanks\eubandr01,Oct 20 '18 SAS @ POR,21,1,20,95,14,22,0,0,11,13,5,27,7,1,4,6,10,39,0.636,,0.846,4.8,2,1.4,0.4
64,Chimezie Metu\metuch01,Oct 20 '18 SAS @ POR,21,1,29,145,19,58,0,2,13,17,9,36,13,6,2,15,14,51,0.328,0,0.765,5,1.8,1.2,0.4
65,Brandon Sampson\sampsbr01,Jan 30 '19 CHI @ MIA,21,1,7,70,11,19,4,12,3,4,0,7,3,2,1,6,6,29,0.579,0.333,0.75,10,4.1,1,0.4
66,Ray Spalding\spaldra01,Oct 17 '18 DAL @ PHO,21,1,7,56,6,12,0,1,1,3,3,17,3,1,3,4,10,13,0.5,0,0.333,8,1.9,2.4,0.4
67,Lonnie Walker\walkelo01,Jan 3 '19 SAS vs. TOR,20,1,11,74,7,28,2,6,6,6,0,12,4,6,2,4,5,22,0.25,0.333,1,6.7,2,1.1,0.4
68,Yuta Watanabe\watanyu01,Oct 27 '18 MEM vs. PHO,24,1,11,106,10,30,2,10,7,10,1,20,4,2,1,4,4,29,0.333,0.2,0.7,9.6,2.6,1.8,0.4
69,Johnathan Williams\willijo04,Oct 22 '18 LAL vs. SAS,23,1,16,205,31,55,0,1,11,22,25,49,6,2,5,10,41,73,0.564,0,0.5,12.8,4.6,3.1,0.4
70,Deng Adel\adelde01,Jan 19 '19 CLE @ DEN,21,1,15,181,9,33,5,21,2,2,2,17,4,1,4,5,12,25,0.273,0.238,1,12.1,1.7,1.1,0.3
71,Dairis Bertans\bertada02,Mar 10 '19 NOP @ ATL,29,1,6,59,5,17,3,11,0,0,2,5,2,0,0,2,3,13,0.294,0.273,,9.8,2.2,0.8,0.3
72,Deonte Burton\burtode02,Oct 19 '18 OKC @ LAC,25,1,28,237,33,80,8,26,7,10,4,28,9,6,8,9,31,81,0.413,0.308,0.7,8.5,2.9,1,0.3
73,Bonzie Colson\colsobo01,Feb 25 '19 MIL @ CHI,23,1,3,6,1,3,1,2,0,0,1,2,1,0,0,0,0,3,0.333,0.5,,2,1,0.7,0.3
74,Jerome Robinson\robinje01,Oct 26 '18 LAC @ HOU,21,1,26,230,30,82,14,43,4,6,3,29,9,7,2,5,36,78,0.366,0.326,0.667,8.8,3,1.1,0.3
75,Anfernee Simons\simonan01,Oct 30 '18 POR @ HOU,19,1,15,74,9,30,1,12,5,10,0,7,4,0,0,8,6,24,0.3,0.083,0.5,4.9,1.6,0.5,0.3
76,Khyri Thomas\thomakh01,Nov 9 '18 DET @ ATL,22,1,23,188,22,65,10,35,7,11,4,20,8,7,5,4,21,61,0.338,0.286,0.636,8.2,2.7,0.9,0.3
77,Julian Washburn\washbju01,Jan 21 '19 MEM vs. NOP,27,1,10,134,4,23,2,12,3,4,5,23,3,5,0,4,6,13,0.174,0.167,0.75,13.4,1.3,2.3,0.3
78,Jordan Loyd\loydjo01,Oct 29 '18 TOR @ MIL,25,1,9,37,5,12,2,6,4,5,1,7,2,0,0,2,5,16,0.417,0.333,0.8,4.1,1.8,0.8,0.2
79,Jarred Vanderbilt\vandeja01,Jan 25 '19 DEN vs. PHO,19,1,12,37,4,10,0,1,2,5,5,15,2,3,1,4,3,10,0.4,0,0.4,3.1,0.8,1.3,0.2
80,Robert Williams\williro04,Oct 22 '18 BOS vs. ORL,21,1,29,242,33,45,0,0,9,14,24,65,6,8,35,9,30,75,0.733,,0.643,8.3,2.6,2.2,0.2
81,Marcus Derrickson\derrima01,Nov 10 '18 GSW vs. BRK,22,1,9,54,10,24,5,14,3,4,5,8,1,0,1,3,9,28,0.417,0.357,0.75,6,3.1,0.9,0.1
82,Melvin Frazier\frazime01,Nov 2 '18 ORL vs. LAC,22,1,9,40,6,18,0,4,1,2,3,5,1,1,0,1,6,13,0.333,0,0.5,4.4,1.4,0.6,0.1
83,Amile Jefferson\jeffeam01,Dec 31 '18 ORL @ CHO,25,1,8,31,3,7,0,0,4,4,3,10,1,1,1,0,4,10,0.429,,1,3.9,1.3,1.3,0.1
84,Dzanan Musa\musadz01,Oct 20 '18 BRK @ IND,19,1,8,34,8,20,0,9,0,2,1,4,1,2,0,4,1,16,0.4,0,0,4.3,2,0.5,0.1
85,Duncan Robinson\robindu01,Oct 24 '18 MIA vs. NYK,24,1,11,84,9,22,6,18,1,2,0,11,1,2,0,1,4,25,0.409,0.333,0.5,7.6,2.3,1,0.1
86,Gary Trent\trentga02,Nov 4 '18 POR vs. MIN,20,1,11,48,6,22,3,10,1,4,0,6,1,0,1,2,2,16,0.273,0.3,0.25,4.4,1.5,0.5,0.1
87,Kostas Antetokounmpo\antetko01,Mar 20 '19 DAL @ POR,21,1,2,11,0,3,0,0,2,4,0,1,0,2,0,1,0,2,0,,0.5,5.5,1,0.5,0
88,Chris Chiozza\chiozch01,Mar 24 '19 HOU @ NOP,23,1,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,0,0,0
89,Tyler Davis\davisty01,Nov 28 '18 OKC vs. CLE,21,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,,,1,0,1,0
90,Angel Delgado\delgaan01,Feb 7 '19 LAC @ IND,24,1,1,14,1,4,0,0,1,2,2,4,0,1,0,0,2,3,0.25,,0.5,14,3,4,0
91,Vince Edwards\edwarvi01,Nov 15 '18 HOU vs. GSW,22,1,2,16,1,4,1,4,0,0,1,2,0,0,0,0,0,3,0.25,0.25,,8,1.5,1,0
92,Donte Grantham\grantdo01,Feb 7 '19 OKC vs. MEM,23,1,3,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,0.7,0,0,0
93,Alize Johnson\johnsal02,Oct 19 '18 IND @ MIL,22,1,12,36,2,10,1,2,1,4,1,8,0,0,1,0,4,6,0.2,0.5,0.25,3,0.5,0.7,0
94,B.J. Johnson\johnsbj01,Mar 3 '19 ATL @ CHI,23,1,6,43,8,16,3,6,2,2,2,8,0,2,0,2,3,21,0.5,0.5,1,7.2,3.5,1.3,0
95,George King\kingge03,Dec 11 '18 PHO @ SAS,25,1,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,6,0,1,0
96,Zach Lofton\loftoza01,Oct 17 '18 DET vs. BRK,26,1,1,4,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,,4,0,0,0
97,Daryl Macon\maconda01,Oct 26 '18 DAL @ TOR,23,1,5,13,2,3,0,0,0,0,0,0,0,1,0,1,1,4,0.667,,,2.6,0.8,0,0
98,Tahjere McCall\mccalta01,Feb 27 '19 BRK vs. WAS,24,1,1,8,2,3,0,1,0,1,0,1,0,0,0,0,2,4,0.667,0,0,8,4,1,0
99,Jordan Sibert\siberjo01,Feb 27 '19 ATL vs. MIN,26,1,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,3,1,1,,4,3,0,0
100,Zhaire Smith\smithzh01,Mar 25 '19 PHI @ ORL,19,1,1,6,1,1,1,1,0,0,0,1,0,1,0,0,0,3,1,1,,6,3,1,0
